tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
584,8322,3568,156,3535,8315,-1,-1
1300,3627,7517,186,7478,3622,-1,-1
1659,4390,6363,218,6265,4385,-1,-1
2365,4142,5919,204,5853,4137,-1,-1
1823,3649,6260,898,5876,3484,-1,-1
2377,3647,5875,731,5616,3594,-1,-1
2644,4841,4578,567,4163,4597,-1,-1
3444,2866,5816,504,5538,2772,-1,-1
4216,3124,4934,356,4761,3069,-1,-1
3919,4273,3607,831,3129,4041,-1,-1
5110,2978,4028,514,3819,2931,-1,-1
5691,3210,3180,549,2914,3146,-1,-1
5762,2743,3404,721,2848,2492,-1,-1
6731,3107,2288,504,2052,3018,-1,-1
6509,2774,2586,761,2208,2652,-1,-1
5925,2595,2875,1235,2237,2473,-1,-1
7230,2533,2194,673,1887,2463,-1,-1
7868,2254,2059,449,1786,2174,-1,-1
7717,2133,2164,616,1866,2034,-1,-1
