tn,fn,tp,fp,nov_det,nov_undet,t_train,t_run
680,5382,6508,60,6476,5374,0.04718470573425293,0.32053232192993164
1332,4790,6354,154,6328,4772,0.08336281776428223,0.1292877197265625
1679,4772,5981,198,5898,4752,0.11617350578308105,0.13640761375427246
2213,2970,7091,356,7029,2961,0.14905452728271484,0.13408160209655762
2338,2309,7600,383,7097,2263,0.1541759967803955,0.11222386360168457
2635,1872,7650,473,7409,1801,0.18249940872192383,0.12611007690429688
2734,1816,7603,477,7059,1701,0.2043294906616211,0.12160181999206543
3439,1879,6803,509,6518,1792,0.25080418586730957,0.14599037170410156
3934,1614,6444,638,6288,1542,0.24796104431152344,0.12181496620178223
4149,1162,6718,601,6137,1033,0.3083069324493408,0.13423705101013184
4805,1598,5408,819,5255,1495,0.30655336380004883,0.14745044708251953
5305,1433,4957,935,4741,1319,0.3789494037628174,0.15517258644104004
5630,1474,4673,853,4053,1287,0.4399256706237793,0.12915706634521484
6298,1138,4257,937,4017,1053,0.3925771713256836,0.15442109107971191
6107,1181,4179,1163,3817,1043,0.4401886463165283,0.20232701301574707
6096,1575,3895,1064,3355,1355,0.4358668327331543,0.15673542022705078
6727,1133,3594,1176,3303,1047,0.5470771789550781,0.15649986267089844
6978,766,3547,1339,3283,677,0.5445296764373779,0.15680885314941406
6985,766,3531,1348,3233,667,0.5793259143829346,0.14297795295715332
